Total Backlinks,Domain Rating,URL Rating,Referring Domains,Referring Page URL,Referring Page Title,Internal Links Count,External Links Count,Link URL,TextPre,Link Anchor,TextPost,Type,Backlink Status,First Seen,Last Check,Day Lost,Language,Traffic (desc),Keywords,Js rendered,Linked Domains
1,30,11,3,https://www.uniguide.com/elephant-meaning-symbolism-spirit-animal-guide/,"Elephant Meaning, Symbolism & The Elephant Spirit Animal | UniGuide",48,31,http://repository.kln.ac.lk/bitstream/handle/123456789/14148/138.pdf?sequence=1&isAllowed=y,"In Buddhism, the color white is a symbol for purity,",holiness,", and enlightenment. In addition, the elephant is viewed by","Dofollow, Content",,6/16/2020 20:34,8/18/2021 7:19,,,2323,607,,22
3368,7,18,9,https://www.guruwaraya.lk/search/label/Vacancy,Teacher: Vacancy,654,98,https://news.kln.ac.lk/images/news21/July/15/Chemistry_-_2021.pdf,,Download Details and,,Dofollow,,7/25/2021 18:53,8/17/2021 17:03,,fr,912,96,,27
590,73,28,51,https://www.webometrics.info/en/Asia/Sri Lanka ,Sri Lanka | Ranking Web of Universities: Webometrics ranks 30000 institutions,387,83,https://www.kln.ac.lk/,,University of Kelaniya,,Dofollow,,2/7/2019 7:30,8/18/2021 14:12,,en,622,471,,67
4737696,31,43,319,http://www.natlib.lk/,National Library of Sri Lanka,97,21,http://ss.kln.ac.lk/depts/libinfoscience/,,"Department of Library and Information Science, University of Kelaniya",,Dofollow,,1/24/2021 1:51,8/18/2021 16:27,,,574,681,,11
3,92,37,273,https://fr.wikipedia.org/wiki/Colombo,Colombo — Wikipédia,405,238,http://www.kln.ac.lk/,,« University of Kelaniya »,,Nofollow,,3/28/2020 20:43,8/18/2021 0:25,,fr,428,63,,171
1,76,17,11,https://www.thenewsminute.com/article/controversies-around-jr-ntrs-character-komaram-bheem-rajamoulis-rrr-136168,The controversies around Jr NTR's character Komaram Bheem in Rajamouli's 'RRR' | The News Minute,32,35,http://repository.kln.ac.lk/bitstream/handle/123456789/11486/86-93.pdf?sequence=1&isAllowed=y,Several anthropological and ethnographic accounts also mention that the,religion of Gonds is animism,. Some of the names of important deities mentioned in,"Dofollow, Content",,10/26/2020 14:27,8/18/2021 16:12,,en,414,107,,15
246,40,44,312,http://www.archaeology.gov.lk/,"Department of Archaeology, Sri Lanka - Home",38,20,https://www.kln.ac.lk/,© Copyright Department of Archaeology 2021. Design & Development by,University of Kelaniya,,Dofollow,,8/17/2021 0:56,8/18/2021 18:57,,en,317,119,,10
90190,69,23,69,https://www.kdu.ac.lk/southern_campus/,Kotelawala Defence University | KDU | University of Sri Lanka,83,72,http://www.kln.ac.lk/,,University of Kelaniya,,Dofollow,,8/4/2020 10:56,8/18/2021 7:42,,en,305,26,,34
104,51,16,11,http://nma.navy.lk/,Naval and Maritime Academy,57,6,https://www.kln.ac.lk/,,University of Kelaniya,,Dofollow,,8/15/2021 8:59,8/15/2021 8:59,,en,274,83,,6
12148,17,20,19,https://www.mytutor.lk/myjobs/government_job_vacancies_in_sri_lanka.php?page=1&ipp=All&fk_vcat=lw==,Government Job Vacancies in Sri Lanka,1232,25,http://www.cdce.kln.ac.lk/applications.php,,Application,,Dofollow,,8/2/2021 6:49,8/17/2021 13:43,,,256,11,,10
18,95,52,1161,https://en.wikipedia.org/wiki/Relativism,Relativism - Wikipedia,884,142,http://repository.kln.ac.lk/jspui/bitstream/123456789/5923/1/109.pdf,,"""Constructive Relativism""",,Nofollow,,6/9/2020 22:06,8/12/2021 13:01,,en,207,416,,90
8,67,34,184,https://www.iau-aiu.net/List-of-IAU-Members,List of IAU Members - IAU,43,1081,http://www.kln.ac.lk/,,University of Kelaniya,,Dofollow,,8/13/2021 12:59,8/18/2021 14:19,,,118,394,,591
2,85,36,186,https://en.wikivoyage.org/wiki/Sri_Lanka,Sri Lanka – Travel guide at Wikivoyage,276,80,http://hu.kln.ac.lk/depts/palibuddhist/,Buddhist Studies and Pali Language. The universities of Peradeniya and,Kelaniya,offer a variety of Buddhist studies and Pali language courses,"Nofollow, Content",,7/21/2020 8:30,8/18/2021 5:14,,en,58,211,,38
4,84,16,6,http://blog.arthritis.org/osteoarthritis/tai-chi-for-knee-osteoarthritis/,Tai Chi for Knee Osteoarthritis - Osteoarthritis,120,12,http://www.kln.ac.lk/,,Aseni,,Nofollow,,6/16/2021 16:41,8/17/2021 4:11,,en,44,20,,8
1,90,22,19,https://www.format.com/magazine/resources/photography/ethical-guide-to-shooting-wildlife-photography,Wildlife Photography Techniques: An Ethical Guide to Taking Nature Pictures,44,11,http://repository.kln.ac.lk/handle/123456789/17112,on University of Kelaniya fellow Divanka Randula Podduwage’s research in,a recent paper,"about ethical models for wildlife photography, we put together these",Dofollow,,6/11/2021 23:39,8/16/2021 20:23,,,37,182,,7
244,8,20,23,https://kelaniyatemple.lk/,Kelaniya Raja Maha Viharaya - The Official Website,65,14,https://www.kln.ac.lk/,,University of Kelaniya,,Dofollow,,7/21/2021 14:51,8/18/2021 19:40,,en,35,47,,11
6,59,18,15,https://www.icde.org/institutional-members,ICDE Institutional Members — ICDE,45,324,http://www.kln.ac.lk/,,University of Kelaniya,,"Dofollow, Image",,10/13/2018 22:26,8/17/2021 1:22,,en,34,71,,189
8,91,18,8,https://stats.moodle.org/sites/index.php?country=LK,Registered sites,281,227,http://lms.cdce.kln.ac.lk/,,"Centre for Distance and Continuing Education (CDCE), University of Kelaniya, Sri Lanka ?????? ?? ????? ???????? ?????????, ?????? ??????????????, ????? ?????",,Dofollow,,5/19/2020 20:08,8/17/2021 19:47,,en,31,79,,126
311,39,16,14,http://www.rjt.ac.lk/library/,RUSL Library,66,92,http://www.kln.ac.lk/,,University of Kelaniya,,Dofollow,,3/22/2015 12:05,8/17/2021 22:42,,en,30,58,,65
27,15,11,4,https://www.coursenet.lk/course/1515/master-of-business-administration-mba,Master of Business Administration (MBA) | University of Kelaniya | Coursenet,43,16,http://www.kln.ac.lk/,,http://www.kln.ac.lk,,"Dofollow, Content",,7/5/2020 19:55,8/18/2021 12:28,,en,30,34,,10
5,29,20,14,https://librarylearningspace.com/keep-up-to-date-with-whats-happening-in-libraries-in-the-region/,Library conferences in Asia 2020 – 2021 – Access,607,538,http://conf.kln.ac.lk/icbi2017/,,ICBI 2017,The 8th International Conference on Business and Information 2017 takes,Dofollow,,1/10/2020 5:50,8/18/2021 15:15,,en,23,145,,263
2,11,23,23,https://lankasee.com/,LankaSee | News and Events,219,204,http://www.kln.ac.lk/,,????,,Dofollow,,6/6/2020 10:20,8/18/2021 17:13,,ta,22,3,,83
2,89,19,50,https://ar.wikipedia.org/wiki/????????_??_?????,???????? ?? ????? - ?????????,344,117,https://www.kln.ac.lk/medicine/depts/forensic/images/stories/ques_1/chemical_assaults_worldwide.pdf,. 6 February 2017. ????? ??,?????,,Nofollow,,10/2/2020 0:22,8/11/2021 9:04,,ur,22,6,,80
2,19,11,4,https://www.yesman.lk/campus/university-of-kelaniya,"University of Kelaniya (2020 / 2021) Intakes, fees, courses and branches",7,4,http://www.kln.ac.lk/,+94 11 2 903903 | info@kln.ac.lk |,http://www.kln.ac.lk,,Dofollow,,12/12/2019 8:58,8/15/2021 17:29,,,21,54,,2
2,51,12,3,https://find-mba.com/schools/asia/sri-lanka/kelaniya,University of Kelaniya - Faculty of Commerce and Management Studies | FIND MBA,110,9,https://pg.fcms.kln.ac.lk/mba/,,https://pg.fcms.kln.ac.lk/mba/,,Nofollow,,5/4/2019 23:57,8/16/2021 13:42,,en,20,91,,8
58,10,10,3,https://edugic.com/www-cdce-kln-ac-lk-result/,www.cdce.kln.ac.lk Result 2021 - University of Kelaniya Sri Lanka,61,5,http://www.cdce.kln.ac.lk/,,https://www.cdce.kln.ac.lk/,,Dofollow,,5/10/2021 11:59,8/17/2021 20:24,,en,20,76,,3
46,84,20,9,https://si.wikipedia.org/wiki/??????_??????????????,?????? ?????????????? - ??????????,50,59,http://ict.kln.ac.lk/,,??????? ?? ????????? ?????? ???????????,,Nofollow,,4/26/2018 9:32,8/8/2021 20:43,,si,19,6,,15
2,82,20,15,https://opensource.com/education/16/8/7-resources-open-education-materials,Back to school: A list of free educational materials | Opensource.com,178,54,http://conf.kln.ac.lk/nfcpd/,"of CPS in higher education."" For more information visit :",http://conf.kln.ac.lk/nfcpd/,,Dofollow,,12/29/2016 8:26,8/18/2021 9:37,,en,19,22,,18
20,90,13,1,https://www.crunchbase.com/organization/university-of-kelaniya,University of Kelaniya - Crunchbase School Profile & Alumni,70,11,http://www.kln.ac.lk/,,www.kln.ac.lk/,,Nofollow,,4/19/2019 11:19,8/16/2021 9:46,,en,18,45,,6
10,90,20,14,https://www.ndph.ox.ac.uk/team/jane-armitage,Jane Armitage — Nuffield Department of Population Health,160,12,http://www.kln.ac.lk/,,University of Kelaniya,,Dofollow,,11/2/2016 17:05,8/18/2021 0:06,,en,17,25,,6
1,23,8,1,https://edurank.org/uni/university-of-kelaniya/,University of Kelaniya [Acceptance Rate + Statistics],121,7,https://kln.ac.lk/?from=edurank.org,,kln.ac.lk,,Nofollow,,8/14/2021 21:47,8/14/2021 21:47,,en,14,38,,6
8,87,16,5,http://lohman.ccny.cuny.edu/,The Lohman Laboratory,44,82,http://science.kln.ac.lk/depts/zoology/,David Lohman is awarded a visiting professor fellowship to the,Department of Zoology and Environmental Management,at the University of Kelaniya in Sri Lanka,Dofollow,,7/18/2021 3:03,7/18/2021 3:03,,en,14,11,,34
8,69,11,1,https://www.4icu.org/reviews/4302.htm,University of Kelaniya | Ranking & Review,46,12,https://library.kln.ac.lk/index.php/,Yes,Go to University of Kelaniya's Library,,"Nofollow, Image",,3/28/2021 20:06,8/15/2021 18:13,,,14,68,,7
22,75,18,10,https://www.jpf.go.jp/e/project/japanese/education/network/,The Japan Foundation - The JF Nihongo Network,73,316,https://www.kln.ac.lk/index.php/en/,,University of Kelaniya External link,,"Dofollow, Image",,4/12/2019 6:33,2/16/2021 0:32,,en,14,122,,230
2,72,11,1,http://www.aag.org/cs/programs/international/developingregions/asia/departments,Academic Departments | AAG,36,94,http://ss.kln.ac.lk/depts/geography/,,University of Kelaniya,,"Dofollow, Content",,7/13/2019 5:38,8/13/2021 23:48,,en,13,15,,71
16,0,7,7,http://www.iqlanka.com/2018/12/diploma-in-english-for-professional.html,Diploma in English for Professional -UNIVERSITY OF KELANIYA - IQLANKA.COM,114,15,http://www.kln.ac.lk/?p=37006&fbclid=IwAR1Ngmq1AhoXYMo5IetB2VNttCNDdSvIOy1ZlPmtiMQh_Yg_xKuiIt01FQ4&lang=si,,,,"Dofollow, Image",,12/30/2018 18:13,8/18/2021 10:23,,fr,13,15,,11
307,6,16,11,https://mbuskln.com/mbus/,"MBus - Master of Business - Department of Accountancy, University of Kelaniya",17,9,http://fcms.kln.ac.lk/dep/doa/,,,,"Dofollow, Image",,5/20/2020 18:56,8/17/2021 17:24,,,12,61,,5
2,66,12,3,https://www.gfmer.ch/Medical_search/Countries/SriLanka.htm,"Medical schools, governments, ministries, medical associations : Sri Lanka",14,22,https://medicine.kln.ac.lk/,,"Faculty of Medicine, University of Kelaniya",,Dofollow,,6/3/2021 12:46,8/15/2021 6:38,,en,12,72,,14
1560,21,10,3,https://onlinecoursesschools.com/english-courses-in-colombo-university,English Courses In Colombo University - August 2021,105,56,https://hu.kln.ac.lk/depts/english/,Course Detail,Hu.kln.ac.lk,,Nofollow,,4/27/2021 3:48,8/17/2021 18:20,,en,11,40,,33
12,91,16,6,https://ja.wikipedia.org/wiki/??????,?????? - Wikipedia,141,44,http://fct.kln.ac.lk/FCT/?page_id=63,“,About Us,”. Faculty of Computing and Technology. University of Kelaniya.,"Nofollow, Content",,5/3/2020 2:13,8/10/2021 8:59,,ja,10,2,,18
