Total Backlinks,Domain Rating,URL Rating,Referring Domains,Referring Page URL,Referring Page Title,Internal Links Count,External Links Count,Link URL,TextPre,Link Anchor,TextPost,Type,Backlink Status,First Seen,Last Check,Day Lost,Language,Traffic (desc),Keywords,Js rendered,Linked Domains
143502,51,48,597,https://www.army.lk/,Sri Lanka Army,92,29,http://www.kdu.ac.lk/,,General Sir John Kotelawala Defence University,,Dofollow,,8/4/2021 12:26,8/18/2021 20:13,,en,7591,467,,21
19973,61,46,564,https://www.defence.lk/,Ministry of Defence - Sri Lanka,107,48,https://www.kdu.ac.lk/,,General Sir John Kotelawala Defence University,,Dofollow,,7/9/2021 7:03,8/18/2021 18:06,,,2334,1047,,39
11,95,45,444,https://en.wikipedia.org/wiki/Shophouse,Shophouse - Wikipedia,235,66,http://ir.kdu.ac.lk/bitstream/handle/345/2449/3.pdf?sequence=1&isAllowed=y,"Kudasinghe, KSKNJ; Jayathilaka, HMLB; Gunaratne, SR.","""Evolution of the Sri Lankan Shophouse: Reconsidering Shophouses for Urban Areas""",,Nofollow,,11/6/2020 4:32,8/11/2021 22:25,,en,1180,168,,34
449,73,28,51,https://www.webometrics.info/en/Asia/Sri Lanka ,Sri Lanka | Ranking Web of Universities: Webometrics ranks 30000 institutions,387,83,https://www.kdu.ac.lk/,,General Sir John Kotelawala Defence University,,Dofollow,,8/2/2020 18:29,8/18/2021 14:12,,en,622,471,,67
988,28,33,89,http://www.torontoslcg.org/,Consulate General of Sri Lanka,48,38,https://www.kdu.ac.lk/wp-content/uploads/2021/006/foreign/ForeignStudents.pdf,the Degree Programmes can be obtained on the KDU website,www.kdu.ac.lk,.,Dofollow,,8/10/2021 0:44,8/18/2021 19:22,,en,386,398,,26
217,73,24,25,http://www.dailynews.lk/category/business,Finance | Daily News,51,48,https://www.kdu.ac.lk/faculty-of-graduate-studies/programmes/postgraduate-courses-new,,,,"Dofollow, Image",,12/15/2020 17:19,12/27/2020 15:42,,en,322,71,,25
12,6,22,29,https://www.lankaeducation.com/sri-lanka-private-universities-rankings/,Sri Lanka Private University / Campus Ranking for 2020 released · Lanka Education News,28,73,http://www.kdu.ac.lk/,,General Sir John Kotelawala Defence University,,Dofollow,,2/9/2020 2:39,8/18/2021 2:33,,en,290,75,,57
213,51,16,11,http://nma.navy.lk/,Naval and Maritime Academy,57,6,https://www.kdu.ac.lk/,,Kotelawala Defence University,,Dofollow,,8/15/2021 8:59,8/15/2021 8:59,,en,274,83,,6
1257,26,32,85,https://srilankahc.uk/,High Commission of the Democratic Socialist Republic of Sri Lanka in the United Kingdom,178,43,http://www.kdu.ac.lk/ocls/images/UHKDU/2020/ISD/English_-_01.jpg,,,,"Dofollow, Image",,8/13/2021 4:59,8/18/2021 18:59,,,242,13,,28
1,24,8,1,https://efl.lk/loss_of_forest_cover_in_sl_sinhala/,????? ?????? ?? ?????? – Environment Foundation (Guarantee) Limited.,143,15,http://ir.kdu.ac.lk/bitstream/handle/345/1754/038.pdf?sequence=1&isAllowed=y,,http://ir.kdu.ac.lk/bitstream/handle/345/1754/038.pdf?sequence=1&isAllowed=y,,Dofollow,,7/3/2020 7:43,8/5/2021 21:31,,en,169,47,,11
8,67,34,184,https://www.iau-aiu.net/List-of-IAU-Members,List of IAU Members - IAU,43,1081,http://www.kdu.ac.lk/,,General Sir John Kotelawala Defence University,,Dofollow,,8/13/2021 12:59,8/18/2021 14:19,,,118,394,,591
8,2,6,1,http://www.landsurveycouncil.org/resources.php,Downloads,26,8,http://www.kdu.ac.lk/,,General Sir John Kotelawala Defence University Southern Campus,,Dofollow,,11/16/2017 22:03,8/10/2021 11:37,,,47,19,,5
2,4,5,0,https://loginii.com/moodle-kdu,Moodle Kdu Login,32,14,http://lms.kdu.ac.lk/lms/,,The General Sir John Kotelawala Defence University,,"Nofollow, Image",,6/8/2020 22:56,8/14/2021 3:28,,en,46,13,,9
18,55,13,4,https://www.ugc.ac.lk/index.php?option=com_content&view=article&id=114&Itemid=46&lang=en,Other Government Universities,145,28,http://www.kdu.ac.lk/,,The General Sir John Kotelawala Defence University (KDU),,Dofollow,,10/17/2020 1:26,8/18/2021 7:49,,en,46,67,,17
136,39,16,14,http://www.rjt.ac.lk/library/,RUSL Library,66,92,http://lis.kdu.ac.lk/,3,"(OPAC) of the Library Network, General Sir John Kotelawala Defence University",,Dofollow,,6/20/2021 18:08,8/17/2021 22:42,,en,30,58,,65
14,67,12,3,https://www.res.cmb.ac.lk/commercial.law/mahanamahewa/,Dr. P. Mahanamahewa – Department of Commercial Law,10,1,https://www.kdu.ac.lk/faculty-of-law/,,Founder Dean Law,,Dofollow,,6/22/2021 14:03,8/18/2021 8:38,,,24,3,,1
7,8,9,3,https://www.applications.lk/online-applications/undergraduate-cadetships-2020-2021,Undergraduate Cadetships 2020 / 2021 - General Sir John Kotelawala Defence University (Ratmalana) and Southern Campus (Suriyawewa),107,5,http://enlistment.kdu.ac.lk/,,Apply Online,,"Dofollow, Content",,7/15/2021 13:49,8/18/2021 11:48,,en,19,17,,4
16,21,12,5,https://www.gazette.lk/2019/10/degree-programmes-for-day-scholars-2019-2020-full-time-general-sir-john-kotelawala-defence-university.html,Degree Programmes for Day Scholars 2019/2020 (Full time) - General Sir John Kotelawala Defence University - Gazette.lk,89,5,http://kdu.ac.lk/payment-basis-degree-programmes-for-day-scholars-20192020-full-time-intake-37/,,More Details,,"Dofollow, Content",,11/12/2020 6:07,8/17/2021 15:54,,en,17,2,,3
4,32,9,1,http://www.slhcaust.org/enrolment-of-foreign-students-and-students-with-foreign-qualifications-as-day-scholars-for-degree-programmes-at-the-general-sir-john-kotelawala-defence-university-kdu-of-sri-lanka-academic-year/,"The Sri Lanka High Commission - Canberra, Australia",14,11,http://www.kdu.ac.lk/,to courses can also be obtained from the KDU website,www.kdu.ac.lk,.,"Dofollow, Content",,6/21/2021 19:42,8/16/2021 4:13,,,15,52,,8
1,91,21,19,https://globalizationandhealth.biomedcentral.com/articles/10.1186/s12992-019-0522-6,Public–private partnerships for universal health coverage? The future of “free health” in Sri Lanka | Globalization and Health | Full Text,31,125,http://www.kdu.ac.lk/proceedings/irc2015/2015/law-043.pdf,critical review in present legal regime in Sri Lanka. 2015.,http://www.kdu.ac.lk/proceedings/irc2015/2015/law-043.pdf,. Accessed 2 Sept 2019.,Dofollow,,5/25/2020 19:59,8/14/2021 2:12,,en,14,108,,38
2,3,16,14,http://prof.rohan.lucas.lk/,Prof Rohan Lucas,33,12,https://www.kdu.ac.lk/,,Icon KDU,,"Dofollow, Image",,6/28/2021 2:43,8/17/2021 15:13,,en,11,2,,8
