Total Backlinks,Domain Rating,URL Rating,Referring Domains,Referring Page URL,Referring Page Title,Internal Links Count,External Links Count,Link URL,TextPre,Link Anchor,TextPost,Type,Backlink Status,First Seen,Last Check,Day Lost,Language,Traffic (desc),Keywords,Js rendered,Linked Domains
91,95,83,10860,https://en.wikipedia.org/wiki/Sri_Lanka,Sri Lanka - Wikipedia,1452,864,http://dlib.pdn.ac.lk/archive/handle/123456789/2078,"Seneviratne, Sudarshan (1989).","""Pre-state chieftains and servants of the state: a case study of Parumaka""",.,Nofollow,,2/23/2021 9:36,8/12/2021 4:57,,,166553,4108,,447
7,92,39,327,https://fr.wikipedia.org/wiki/Panda_géant,Panda géant — Wikipédia,413,282,http://www.pdn.ac.lk/cjsbs/text/text35.2.1.pdf,(,lire en ligne,),Nofollow,,8/22/2019 22:55,8/7/2021 14:57,,fr,11440,639,,195
3,39,19,17,https://www.vetport.com/which-veterinary-school-is-best,Which Veterinary School is the Best - Top 100 in World [August 2020],27,144,http://vet.pdn.ac.lk/,,Visit,,"Dofollow, Content",,4/27/2019 9:24,8/12/2021 1:57,,,1795,2905,,105
2,87,33,331,https://uk.wikipedia.org/wiki/???-?????,???-????? — ?????????,617,360,http://www.dlib.pdn.ac.lk:8080/jspui/bitstream/123456789/3125/1/D.P.M. Weerakkody - Modern Sri Lanka Studies Vol. II Nos. I & II - 1987.pdf,Lanka and the Roman Empire . Peradeniya University. ?. 23. ?????,?????????,?? 21 September 2013,Nofollow,,1/7/2019 1:09,8/15/2021 20:09,,uk,1194,37,,290
6,76,32,89,https://www.nationsonline.org/oneworld/sri_lanka.htm,Sri Lanka - Ceylon - Country Profile - Nations Online Project,104,141,http://www.pdn.ac.lk/,,University of Peradeniya,,Nofollow,,6/17/2018 20:49,8/18/2021 1:54,,,623,1810,,86
954,73,28,51,https://www.webometrics.info/en/Asia/Sri Lanka ,Sri Lanka | Ranking Web of Universities: Webometrics ranks 30000 institutions,387,83,https://www.pdn.ac.lk/,,University of Peradeniya,,Dofollow,,1/18/2021 15:44,8/18/2021 14:12,,en,622,471,,67
6,77,28,46,https://wenr.wes.org/2017/08/education-in-sri-lanka,Education in Sri Lanka,44,104,http://dental.pdn.ac.lk/DATS/index.php,such as dental nurses and dental technicians. Students at this,school,can pursue a Diploma in Dental Assisting or a Higher,"Dofollow, Content",,8/29/2017 6:12,8/18/2021 3:41,,,435,1055,,54
90179,69,23,69,https://www.kdu.ac.lk/southern_campus/,Kotelawala Defence University | KDU | University of Sri Lanka,83,72,http://www.pdn.ac.lk/,,University of Peradeniya,,Dofollow,,8/4/2020 10:56,8/18/2021 7:42,,en,305,26,,34
7,92,24,58,https://es.wikipedia.org/wiki/Daboia_russelii,"Daboia russelii - Wikipedia, la enciclopedia libre",157,80,http://www.pdn.ac.lk/socs/zaup/reptiles/,"Faculty of Science, University of Peradeniya, Sri Lanka. PDF at",Sri Lanka Reptile,. Revisado el 14 de marzo de 2007.,Nofollow,,6/25/2015 19:28,8/18/2021 12:22,,es,286,17,,55
2,78,18,11,https://www.cgdev.org/page/university-development-programs,University Development Programs | Center For Global Development,50,242,http://www.pdn.ac.lk/arts/econ/mdp/,,University of Peradeniya - Development Practice,,Dofollow,,9/20/2020 20:44,8/18/2021 1:08,,en,247,288,,102
351530,29,35,113,http://www.pgia.ac.lk/,Postgraduate Institute of Agriculture | University of Peradeniya,74,24,http://www.lib.pdn.ac.lk/libraries/agri/,,Agriculture Library,,Dofollow,,8/8/2021 2:59,8/18/2021 18:24,,,222,1,,7
1,92,23,24,http://www.bbc.com/earth/story/20150107-dwarf-elephant-beats-up-large-rival,BBC - Earth - Dwarf elephant beats up big rival,31,59,http://www.pdn.ac.lk/vet/vet/departments/bvs/staff/Dr. Nilmini Jayasena.html,"the time, I didn't even notice it was a dwarf,”",Nilmini Jayasena,"from the University of Peradeniya in Sri Lanka, who saw","Dofollow, Content",,1/24/2019 23:29,8/11/2021 21:32,,en,200,153,,17
2,86,31,304,https://sl.wikipedia.org/wiki/Šrilanka,"Šrilanka - Wikipedija, prosta enciklopedija",479,408,http://www.dlib.pdn.ac.lk:8080/jspui/bitstream/123456789/3125/1/D.P.M. Weerakkody - Modern Sri Lanka Studies Vol. II Nos. I & II - 1987.pdf,. Peradeniya University. str. 23. Arhivirano iz,prvotnega spletiš?a,,Nofollow,,4/24/2018 0:21,8/18/2021 8:10,,sl,188,11,,314
3,92,21,34,https://it.wikipedia.org/wiki/Esercito_di_Liberazione_Simbionese,Esercito di Liberazione Simbionese - Wikipedia,215,73,http://www.pdn.ac.lk/acfmx/file 1.pdf,"The Faculty of Engineering,",title,(,Nofollow,,8/1/2020 1:22,8/17/2021 23:58,,it,176,25,,39
